Date,Open,High,Low,Close,Adj Close,Volume
10-Mar-20,2733.5,2884.75,2694.75,2865.75,2865.75,1061592
9-Mar-20,2916.5,2917,2713.5,2747.75,2747.75,806067
6-Mar-20,3024,3037,2898,2964,2964,913066
5-Mar-20,3110,3114,2996.75,3015.5,3015.5,718122
4-Mar-20,2988.75,3129.25,2976.75,3114.75,3114.75,647060
3-Mar-20,3077,3136.5,2973,2997,2997,1096486
2-Mar-20,2904,3093,2888,3065,3065,946817
28-Feb-20,2950.5,2995.75,2853,2951,2951,1735325
27-Feb-20,3101.25,3117,2944.5,2957,2957,1282240
26-Feb-20,3139,3182,3090.5,3110.25,3110.25,1070134
25-Feb-20,3224.25,3259.5,3117.25,3132.5,3132.5,1152006
